chenyi,r1,n,r2,m
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:亲缘 {predicate: 联系, source: 陈毅年谱, event: 陈毅致信陈昊苏（北京市）}]","(:Person {name: 陈昊苏, nodeId: agent_person/10566})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:亲缘 {predicate: 毕业, source: 陈毅传, event: 陈毅和陈孟熙从留法预备学校毕业（成都市）}]","(:Person {name: 陈孟熙, nodeId: agent_person/8863})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:亲缘 {predicate: 联系, source: 陈毅年谱, event: 陈毅致信陈丹淮（北京市）}]","(:Person {name: 陈丹淮, nodeId: agent_person/8834})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:亲缘 {predicate: nan, source: 陈毅年谱, event: 陈毅长子昊苏出生（盐城市）}]","(:Person {name: 陈昊苏, nodeId: agent_person/10566})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:亲缘 {predicate: nan, source: 陈毅年谱, event: 陈毅次子丹淮出生（黄花塘镇）}]","(:Person {name: 陈丹淮, nodeId: agent_person/8834})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:亲缘 {predicate: nan, source: 陈毅年谱, event: 陈毅父亲陈家余去世（成都市）}]","(:Person {name: 陈家余, nodeId: agent_person/15477})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:朋友 {predicate: 迎接, source: 陈毅年谱, event: 陈毅欢迎上海文化人士阿英（盐城市）}]","(:Person {name: 阿英, nodeId: agent_person/15063})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:朋友 {predicate: nan, source: 陈毅传, event: 蔡和森向陈毅介绍《共产党宣言》（巴黎）}]","(:Person {name: 蔡和森, nodeId: agent_person/8849})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:夫妻 {predicate: nan, source: 陈毅年谱, event: 陈毅与赖月明分别（黄麟乡）}]","(:Person {name: 赖月明, nodeId: agent_person/10245})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:夫妻 {predicate: nan, source: 陈毅年谱, event: 陈毅与萧菊英结婚（泰和县）}]","(:Person {name: 萧菊英, nodeId: agent_person/10238})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:夫妻 {predicate: nan, source: 陈毅年谱, event: 陈毅与张茜结婚（竹箦镇）}]","(:Person {name: 张茜, nodeId: agent_person/10569})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:受影响 {predicate: 参加, source: 陈毅年谱, event: 陈毅参加列宁逝世两周年纪念大会（北京市）}]","(:Person {name: 列宁, nodeId: agent_person/15087})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:敌人 {predicate: 指挥, source: 陈毅年谱, event: 陈毅和粟裕领导新四军击退国民党韩德勤部对黄桥的首次攻击（黄桥镇）}]","(:Person {name: 韩德勤, nodeId: agent_person/1069})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:敌人 {predicate: 指挥, source: 陈毅年谱, event: 陈毅和粟裕领导新四军击退国民党韩德勤部对黄桥的首次攻击（黄桥镇）}]","(:Person {name: 韩德勤, nodeId: agent_person/10697})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:敌人 {predicate: nan, source: 网络资源, event: 陈毅宣布李明扬、李长江部接替新四军进驻姜堰（姜堰区）}]","(:Person {name: 李长江, nodeId: agent_person/10696})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:敌人 {predicate: nan, source: 网络资源, event: 陈毅宣布李明扬、李长江部接替新四军进驻姜堰（姜堰区）}]","(:Person {name: 李明扬, nodeId: agent_person/14750})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:敌人 {predicate: nan, source: 网络资源, event: 陈毅送给陈泰运100多条好枪（姜堰区）}]","(:Person {name: 陈泰运, nodeId: agent_person/15750})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:敌人 {predicate: nan, source: 网络资源, event: 李明杨、李长江和陈泰运向陈毅保证不参与韩德勤对新四军的进攻（姜堰区）}]","(:Person {name: 李长江, nodeId: agent_person/10696})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:敌人 {predicate: nan, source: 网络资源, event: 李明杨、李长江和陈泰运向陈毅保证不参与韩德勤对新四军的进攻（姜堰区）}]","(:Person {name: 李明扬, nodeId: agent_person/14750})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:敌人 {predicate: nan, source: 网络资源, event: 李明杨、李长江和陈泰运向陈毅保证不参与韩德勤对新四军的进攻（姜堰区）}]","(:Person {name: 陈泰运, nodeId: agent_person/15750})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: 参加, source: 陈毅年谱, event: 陈毅与谭震林对上海“三反”运动作指示（上海市）}]","(:Person {name: 谭震林, nodeId: agent_person/8325})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: nan, source: 网络资源, event: 陈毅与邓小平、滕代远等人会合（麻田镇）}]","(:Person {name: 滕代远, nodeId: agent_person/8463})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: 会见, source: 陈毅年谱, event: 陈毅接见罗生特（盐城市）}]","(:Person {name: 罗生特, nodeId: agent_person/10676})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: nan, source: 陈毅年谱, event: 陈毅将代表团交由章汉夫及乔冠华处理（日内瓦）}]","(:Person {name: 章汉夫, nodeId: agent_person/15440})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: nan, source: 网络资源, event: 陈毅在曾昌明和叶彬的护送下赴延安参加中共七大（江苏省）}]","(:Person {name: 曾昌明, nodeId: agent_person/15747})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: 参加, source: 网络资源, event: 陈毅与周恩来、赵世炎等开展反对北洋政府秘密借款的运动（巴黎）}]","(:Person {name: 赵世炎, nodeId: agent_person/10801})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: 参加, source: 陈毅年谱, event: 张茜邀请聂荣臻夫妇参加陈毅70寿辰（北戴河区）}]","(:Person {name: 聂荣臻, nodeId: agent_person/8166})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: nan, source: 网络资源, event: 陈毅与黄克诚会面（盐城市）}]","(:Person {name: 黄克诚, nodeId: agent_person/8484})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: 参加, source: 陈毅年谱, event: 陈毅、谭震林、徐向前被要求“请假检讨”（北京市）}]","(:Person {name: 徐向前, nodeId: agent_person/8257})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: nan, source: 日记摘抄, event: 陈毅让张国华调停与藏员关于群众大会的争论（拉萨市）}]","(:Person {name: 张国华, nodeId: agent_person/15053})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: nan, source: 陈毅年谱, event: 陈毅与罗荣桓、邓子恢联名向中央提出《关于开发海南岛的意见》（北京市）}]","(:Person {name: 罗荣桓, nodeId: agent_person/8171})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: nan, source: 陈毅年谱, event: 陈毅与罗荣桓、邓子恢联名向中央提出《关于开发海南岛的意见》（北京市）}]","(:Person {name: 邓子恢, nodeId: agent_person/8377})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: 会见, source: 陈毅年谱, event: 陈毅和李先念接见巴基斯坦政府经济代表团（北京市）}]","(:Person {name: 李先念, nodeId: agent_person/8328})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: 联系, source: 陈毅年谱, event: 朱德派陈毅赴蛟洋请毛泽东复职（松源镇）}]","(:Person {name: 毛泽东, nodeId: agent_person/8176})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: 参加, source: 陈毅年谱, event: 陈毅参加7次“政治局生活会”（北京市）}]","(:Person {name: 江青, nodeId: agent_person/8508})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: 指挥, source: 陈毅年谱, event: 郑州战役}]","(:Person {name: 邓小平, nodeId: agent_person/8331})",null,null
"(:Person {name: 陈毅, nodeId: agent_person/7993})","[:同事 {predicate: nan, source: 陈毅年谱, event: 陈毅与潘汉年拜会宋庆龄（上海市）}]","(:Person {name: 潘汉年, nodeId: agent_person/15085})",null,null
