l,r2,e,r1,p
"(:Location {name: 巴黎, nodeId: 397.0})",[:OCCURS_IN],"(:Event {eventId: 403, predicate: 参加, name: 陈毅加入工学世界社（巴黎）, startDate: 1920})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 昆明市, nodeId: 1622.0})",[:OCCURS_IN],"(:Event {eventId: 2877, name: 陈毅获悉母亲去世（昆明市）, startDate: 1963-05-09 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 柏林市, nodeId: 2339.0})",[:OCCURS_IN],"(:Event {eventId: 2338, predicate: 参加, name: 陈毅出席德意志民主共和国成立5周年国庆典礼（柏林市）, eventType: 访问, startDate: 1954-10-06 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 日内瓦, nodeId: 1450.0})",[:OCCURS_IN],"(:Event {eventId: 2964, name: 陈毅作第一次发言（日内瓦）, eventType: 会议, startDate: 1961-05-16 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 3020, name: 陈毅宣布中国政府承认牙买加（北京市）, startDate: 1962-08-05 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 拉萨市, nodeId: 1320.0})",[:OCCURS_IN],"(:Event {eventId: 2504, predicate: 参加, name: 陈毅出席群众大会（拉萨市）, eventType: 会议, startDate: 1956-04-27 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 江西省, nodeId: 802.0})",[:OCCURS_IN],"(:Event {eventId: 1830, predicate: 参加, endDate: 1933-10-04 00:00:00, name: 陈毅出席中共江西省苏区第二次代表大会（宁都县）, eventType: 会议, startDate: 1933-09-27 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 宁都县, nodeId: 699.0})",[:OCCURS_IN],"(:Event {eventId: 1830, predicate: 参加, endDate: 1933-10-04 00:00:00, name: 陈毅出席中共江西省苏区第二次代表大会（宁都县）, eventType: 会议, startDate: 1933-09-27 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2890, predicate: 参加, name: 陈毅参加国庆典礼（北京市）, eventType: 聚集, startDate: 1964-10-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 里昂, nodeId: 423.0})",[:OCCURS_IN],"(:Event {eventId: 3356, predicate: 参加, name: 陈毅等率领学生代表冲入里昂大学（里昂）, eventType: 聚集, startDate: 1921-09-21 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 1733, predicate: 创作, name: 陈毅作《赠缅甸友人》（北京市）, startDate: 1957-12-17 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 上海市, nodeId: 375.0})",[:OCCURS_IN],"(:Event {eventId: 2431, predicate: 创作, name: 陈毅撰写《关于朱德、毛泽东红军的历史及其状况的报告》（上海市）, startDate: 1929-09-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 淄川区, nodeId: 1553.0})",[:OCCURS_IN],"(:Event {eventId: 2564, predicate: 参加, endDate: 1947-03-12 00:00:00, name: 陈毅参加华野前委扩大会议（淄川区）, eventType: 会议, startDate: 1947-03-08 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 3023, predicate: 参加, endDate: 1962-09-27 00:00:00, name: 陈毅出席中共八届十中全会（北京市）, startDate: 1962-09-24 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2748, predicate: 参加, name: 陈毅到毛泽东处集会谈国内外形势（北京市）, eventType: 会议, startDate: 1959-10-23 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 3022, name: 陈毅宣布中国政府承认特立尼达和多巴哥（北京市）, startDate: 1962-08-30 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 喀布尔, nodeId: 2293.0})",[:OCCURS_IN],"(:Event {eventId: 3111, predicate: 会见, endDate: 1965-03-24 00:00:00, name: 陈毅与阿富汗首相穆罕默德·优素福、副首相阿卜杜勒·查希尔会谈（喀布尔市）, startDate: 1965-03-23 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 喀布尔市, nodeId: 2293.0})",[:OCCURS_IN],"(:Event {eventId: 3111, predicate: 会见, endDate: 1965-03-24 00:00:00, name: 陈毅与阿富汗首相穆罕默德·优素福、副首相阿卜杜勒·查希尔会谈（喀布尔市）, startDate: 1965-03-23 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 盐城市, nodeId: 940.0})",[:OCCURS_IN],"(:Event {eventId: 2532, predicate: 召开, name: 陈毅召开整顿“三风”会议（盐城市）, eventType: 会议, startDate: 1942-06-18 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 广州市, nodeId: 459.0})",[:OCCURS_IN],"(:Event {eventId: 3235, predicate: 创作, name: 陈毅写作《广州花市》（广州市）, startDate: 1966-01-20 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 盐城市, nodeId: 940.0})",[:OCCURS_IN],"(:Event {eventId: 2527, predicate: 参加, name: 陈毅出席华中抗大第五分校毕业典礼大会（盐城市）, eventType: 聚集, startDate: 1942-02-07 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2700, predicate: 参加, name: 陈毅参加中苏友好协会成立大会（北京市）, eventType: 会议, startDate: 1949-10-05 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2889, predicate: 会见, name: 陈毅接见阿尔及利亚政府代表团（北京市）, eventType: 访问, startDate: 1963-09-30 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 摩加迪沙市, nodeId: 2941.0})",[:OCCURS_IN],"(:Event {eventId: 2906, name: 陈毅和周恩来访问索马里（摩加迪沙市）, eventType: 访问, startDate: 1964-02-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 开罗市, nodeId: 1507.0})",[:OCCURS_IN],"(:Event {eventId: 3133, predicate: 会见, name: 周恩来和陈毅拜会阿拉伯联合共和国总统塞纳尔（开罗市）, startDate: 1965-06-20 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 3191, predicate: 参加, name: 陈毅参加庆祝“五一”晚会（北京市）, eventType: 聚集, startDate: 1969-05-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 上海市, nodeId: 375.0})",[:OCCURS_IN],"(:Event {eventId: 3341, name: 陈毅从北京到上海（上海市）, eventType: 移动, startDate: 1957-01-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 金边, nodeId: 2289.0})",[:OCCURS_IN],"(:Event {eventId: 2288, name: 陈毅陪同周恩来拜会西哈努克亲王（金边）, eventType: 访问, startDate: 1960-05-05 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 盐城市, nodeId: 940.0})",[:OCCURS_IN],"(:Event {eventId: 2509, predicate: 参加, name: 陈毅参加盐城县参议会成立大会开幕式（盐城市）, startDate: 1941-01-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
