Unnamed: 0,*出处ISBN/AS-ID,*页码,被拆解语句,*事件名【主体名+动词+客体名（地点名）】,*事件ID,*起始日期（YYYY/MM/DD）,结束日期（YYYY/MM/DD）,时间备注（非公历纪年，无年份信息）,*地点,*地点ID,*主体人物/组织,*主体ID,客体人物/组织,客体ID,关系,人物备注,谓词,事件类型,作品,作品ID,作品备注,会议,会议ID,会议备注,其他说明
,7010021562,205,毛泽东电告博古：“决定新四军隶属八路军，编2师4旅8团，拟项副军长，陈毅政治部主任，周子昆参谋人，军暂住武汉，商昌、福州设办事处。”,陈毅任新四军政治部主任（延安市）,2031,1937-11-06,,,延安市,1119.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,206-207,政治局会议又专门讨论南方红军和游击队改编等问题，确定成立中共中央东南分局和中共中央革命军事委员命新四军分会。党的东南分局主要做地方工作，以项英、曾山、陈毅、方方、涂振农为委员，项英任书记，曾山任副书记，军分命主要做新四军的工作，以项英、陈毅、张鼎丞、曾山、黄道为委员，项英任主席、陈毅任副主席（后改称军分命书记、副书记）。,陈毅任中共中央革命军事委员会新四军分会副书记（延安市）,1291,1937-12-09,1937-12-14,,延安市,1119.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,206-207,政治局会议又专门讨论南方红军和游击队改编等问题，确定成立中共中央东南分局和中共中央革命军事委员命新四军分会。党的东南分局主要做地方工作，以项英、曾山、陈毅、方方、涂振农为委员，项英任书记，曾山任副书记，军分命主要做新四军的工作，以项英、陈毅、张鼎丞、曾山、黄道为委员，项英任主席、陈毅任副主席（后改称军分命书记、副书记）。,陈毅任中共中央东南分局委员（延安市）,2052,1937-12-09,1937-12-14,,延安市,1119.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,212,中共中央东南分局（以下简称“东南分局”）和中共中央革命军事委员会新四军分会（以下简称“新四军军分会”）在南昌明德屯4号正式成立，项英任分局书记兼军分会书记，陈毅任分局委员、军分会副书记。,陈毅任东南分局委员、新四军分会副书记（南昌市）,2052,1938-01-01,,1月上中旬,南昌市,562.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,211,陈绍禹、周恩来、叶剑英电告毛泽东：一、何应钦核定新四军编制为一、二、三、四共四个游击支队，同意以陈毅、张鼎丞、张云逸、高敬亭分任一、二、三、四支队司令。,陈毅任新四军第一支队司令员,1291,1938-01-08,,,,,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,217,"新四军在岩寺鲍家祠堂召开全军(除江北第四支队外)第一次营以上干部大会。会议由项英主持。陈毅代表东南分局、新四军军分会首先讲话，介绍全国抗战的基本形势,国共合作的进展情况，并对新四军的组建，尤其是对叶挺将军就任新四军军长表示祝贺，要求大家团结一致，在东南分局及军分会领导下，坚决执行中共中央的正确路线完成抗日救国大业。",陈毅参加新四军第一次营以上干部大会（岩寺镇）,2610,1938-04-01,,1938年4月中旬,岩寺镇,2609.0,陈毅,agent_person/7993,,,,,参加,会议,,,,,Un2,新四军第一次营以上干部大会,
,7010021562,220,率第一支队东进至南陵县土塘。是日，召开支队干部会议，作《新的战斗条件和新的战斗任务》的报告。针对江南的地形、社会特点和面对着新的敌人，要求部队运用夜战、伏击战、白刃格斗等战术制胜敌人。,陈毅作《新的战斗条件和新的战斗任务》的报告（土塘村）,2205,1938-05-28,,,土塘村,2213.0,陈毅,agent_person/7993,,,,,汇报,,,Un1,新的战斗条件和新的战斗任务,,,,
,7010021562,221,毛泽东、洛甫6月9日复电同意组织新四军委员会，以项英、叶挺、陈毅、张云逸、周子昆、袁国平为委员，项英为主任，叶挺为副主任。,陈毅任新四军委员会委员,2209,1938-06-07,,,,,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,229,日军调集4500余人，并配有飞机、坦克、大炮，由秣陵关、溧水、当涂、采石、江宁等地，兵分8路，水陆并进，企图“扫荡”小丹阳地区，消灭第二支队，摧毁初创之抗日根据地。陈毅指示第一支队动员广大群众和地方武装对京杭、京沪、句丹等公路开展破袭战，并派出精干小分队袭击南京近郊麒麟门，以钳制敌人，策应第二支队反围攻作战。第二支队在第一支队积极配合下不到3天便粉碎了敌人的“扫荡”。,陈毅指挥新四军击败日军对小丹阳地区的“扫荡”（江苏省）,1307,1938-08-22,1938-08-23,,江苏省,1005.0,陈毅,agent_person/7993,,,,,指挥,战争,,,,,,,
,7010021562,231,9月。撰毕《坚持江南抗战的诸问题》一文，主要内容如下∶一、坚持江南抗战的意义;二、日寇统治江南政策的分析;三、日寇的弱点及其在江南战略战术上的演出;四、江南抗战的战略战术问题;五、巩固与扩大地方武装;六、土匪问题。该文指出∶坚持江南抗战不仅给日寇以致命的打击，大大提高全国抗战的信心，还与全世界反日援华运动的深入开展息息相关。术文在分析了江南敌我双方政治、军事的基础上，提高了江南抗战的战略战术及其具体的方针 、政策，对江南抗战有重要指导意义。,陈毅撰毕《坚持江南抗战的诸问题》,2405,1938-09-01,,,,,陈毅,agent_person/7993,,,,,创作,,,Un1,坚持江南抗战的诸问题,,,,
