Source,Target,Type,Weight
周恩来,陈毅,Directed,59
毛泽东,陈毅,Directed,20
陈毅,周恩来,Directed,18
陈毅,刘少奇,Directed,7
刘少奇,陈毅,Directed,6
陈毅,毛泽东,Directed,5
陈毅,吴努,Directed,5
陈毅,西哈努克亲王,Directed,4
陈毅,西哈努克,Directed,4
陈毅,金日成,Directed,4
陈毅,谭震林,Directed,3
陈毅,萨达尔·穆罕默德·纳伊姆,Directed,3
陈毅,苏加诺,Directed,3
陈毅,范文同,Directed,3
陈毅,若奥·贝尔希奥·古拉特,Directed,3
陈毅,马亨德拉,Directed,3
陈毅,萨布里,Directed,3
王光美,陈毅,Directed,3
陈毅,比拉尼·马马杜·瓦尼,Directed,3
陈毅,张茜,Directed,3
陈毅,粟裕,Directed,2
陈毅,中苏友好协会,Directed,2
陈毅,赫鲁晓夫,Directed,2
周恩来,吴努,Directed,2
西哈努克,陈毅,Directed,2
陈毅,泽登巴尔,Directed,2
苏加诺,陈毅,Directed,2
周恩来,马亨德拉,Directed,2
陈毅,穆罕默德·阿尤布·汗,Directed,2
陈毅,比斯塔,Directed,2
张春桥,王洪文,Directed,2
陈毅,徐向前,Directed,2
周恩来,Un0,Directed,2
江青,陈小鲁,Directed,2
林彪,陈毅,Directed,2
陈毅,尼雷尔,Directed,2
陈毅,聂荣臻,Directed,2
陈毅,饶漱石,Directed,1
彭德怀,中国人民志愿军,Directed,1
陈毅,刘伯承,Directed,1
达赖喇嘛,陈毅,Directed,1
班禅额尔德尼,陈毅,Directed,1
陈毅,达赖喇嘛,Directed,1
陈毅,罗荣桓,Directed,1
陈毅,邓子恢,Directed,1
金日成,陈毅,Directed,1
金日成,周恩来,Directed,1
陈毅,罗马尼亚人民共和国政府代表团,Directed,1
陈毅,阿尔及利亚共和国临时政府代表团,Directed,1
陈毅,德意志民主共和国政府代表团,Directed,1
陈毅,中国作家协会,Directed,1
陈毅,契尔沃年科,Directed,1
陈毅,吴温貌,Directed,1
周恩来,吴温貌,Directed,1
陈毅,尼赫鲁,Directed,1
周恩来,尼赫鲁,Directed,1
陈毅,拉金德拉·普拉沙德,Directed,1
周恩来,拉金德拉·普拉沙德,Directed,1
陈毅,毕·普·柯伊拉腊,Directed,1
周恩来,毕·普·柯伊拉腊,Directed,1
周恩来,西哈努克,Directed,1
朗诺,陈毅,Directed,1
周恩来,福·波伦,Directed,1
陈毅,福·波伦,Directed,1
西哈努克,周恩来,Directed,1
周恩来,泽登巴尔,Directed,1
陈毅,阿里·穆罕默德,Directed,1
陈毅,萨达尔·穆罕默德·达乌德,Directed,1
陈毅,帕德马・巴哈杜尔・卡特里,Directed,1
科比纳克西,陈毅,Directed,1
陈毅,梭发那・富马,Directed,1
约瑟夫·黑根,陈毅,Directed,1
科尼巴·普莱亚,陈毅,Directed,1
陈毅,葛罗米柯,Directed,1
梅农,陈毅,Directed,1
陈毅,霍姆,Directed,1
陈毅,弗里德里克·瓦伦,Directed,1
陈毅,马克斯·彼蒂彼爱,Directed,1
陈毅,章汉夫,Directed,1
陈毅,乔冠华,Directed,1
赫鲁晓夫,陈毅,Directed,1
