序号,label
1,陈毅
2,上海市人民政府
3,上海总工会筹备委员会
4,上海工人协会
5,上海职工协会
6,第三野战军第二十五军
7,粟裕
8,中共中央华东局暨上海市委
9,饶漱石
10,中国共产党
11,中苏友好协会
12,毛泽东
13,第三野战军
14,杜鲁门
15,第三野战军前委
16,华东军区党委
17,彭德怀
18,中国人民志愿军
19,刘伯承
20,谭震林
21,刘少奇
22,周恩来
23,达赖喇嘛
24,班禅额尔德尼
25,罗荣桓
26,邓子恢
27,中共中央委员会
28,金日成
29,罗马尼亚人民共和国政府代表团
30,赫鲁晓夫
31,西哈努克亲王
32,阿尔及利亚共和国临时政府代表团
33,德意志民主共和国政府代表团
34,中国作家协会
35,契尔沃年科
36,吴努
37,吴温貌
38,尼赫鲁
39,拉金德拉·普拉沙德
40,毕·普·柯伊拉腊
41,西哈努克
42,朗诺
43,福·波伦
44,泽登巴尔
45,萨达尔·穆罕默德·纳伊姆
46,阿里·穆罕默德
47,萨达尔·穆罕默德·达乌德
48,帕德马・巴哈杜尔・卡特里
49,科比纳克西
50,苏加诺
51,梭发那・富马
52,约瑟夫·黑根
53,科尼巴·普莱亚
54,葛罗米柯
55,梅农
56,霍姆
57,弗里德里克·瓦伦
58,马克斯·彼蒂彼爱
59,章汉夫
60,乔冠华
61,范文同
62,阿尔温·伯纳德·佩雷拉
63,若奥·贝尔希奥·古拉特
64,奥斯瓦耳多·多尔蒂科斯·托拉多
65,乔治乌·杜米特鲁
66,马亨德拉
67,穆罕默德·舒埃卜·米斯凯尼亚
68,韩益洙
69,阿杜勒·拉赫曼·兹尼贝尔
70,詹姆斯·默塞尔
71,罗瑞卿
72,贺龙
73,格奥尔基·库姆比利耶夫
74,安克尔·斯怀特
75,敦道格·策伯格米德
76,阿蒙·卡维泽尔
77,雍文谦
78,比拉马·待拉奥雷
79,尤睦佳·泽登巴尔
80,班达拉奈克夫人
81,图尔西·吉里
82,佐·阿·布托
83,崔庸健
84,陈昊苏
85,阿尤布
86,陈丹淮
87,柯西金
88,穆罕默德·阿尤布·汗
89,穆罕默德·查希尔·沙阿
90,查希尔
91,优素福
92,萨布里
93,苏班德里约
94,拉宾
95,亚齐德
96,奥博特
97,李宗仁
98,欧斯曼
99,奈温
100,比斯塔
101,王光美
102,陶铸
103,张春桥
104,王洪文
105,希斯尼·卡博
106,李一氓
107,比拉尼·马马杜·瓦尼
108,徐向前
109,江青
110,瓦鲁科
111,首都大专院校红代会批陈联络站
112,Un0
113,外交部
114,古哈·阿尤布·汗
115,黎终始
116,伊马姆
117,卡翁达
118,黄文欢
119,王力
120,塞杜·巴迪安·库亚特
121,中央文革小组
122,谢富治
123,富里萨拉
124,李先念
125,阿赫默德
126,陈家余
127,陈小鲁
128,林彪
129,尼雷尔
130,阿沙德·侯赛因
131,康生
132,中央
133,张茜
134,工学世界社
135,蔡和森
136,项英
137,卞志强
138,聂荣臻
139,叶剑英
